Map                 Steps
300 * 300:          92
300 * 300:          94
500 * 500:          68
500 * 500:          60
1200 * 800:         237
2560 * 1600:        306
500 * 500:          216
500 * 500:          224
500 * 500:          201
300 * 300:          115
500 * 500:          133
1200 * 800:         175
300 * 300:          259
300 * 300:          311
300 * 300:          768
300 * 300:          312
300 * 300:          1204
300 * 300:          1161
500 * 500:          250
300 * 300:          117
300 * 300:          846
500 * 500:          210
200 * 500:          159
300 * 300:          676
300 * 300:          967
